Specimen_AllReader_Record5 No ,  

Time (h.m.s.ms),              ID:3 R1 (X)                   ID:3 R1 (Y)                   ID:2 R2 (X)                   ID:2 R2 (Y)                   ID:4 R3 (X)                   ID:4 R3 (Y)                   ID:6 R4 (X)                   ID:6 R4 (Y)                   ID:7 R5 (X)                   ID:7 R5 (Y)                   ID:8 R6 (X)                   ID:8 R6 (Y)                   R7 T (N��m),                  R8 D (cm)                     
13:17:08.372                  3.597                         -0.4283                       5.51                          0.6457                        -1.5383                       -17.5486                      1.7591                        -0.5336                       0.4666                        -1.7477                       0.6716                        -3.6332                       0                             0.3                           
13:17:08.642                  3.5965                        -0.4285                       5.5096                        0.6455                        -1.5383                       -17.5485                      1.7591                        -0.5335                       0.4663                        -1.7475                       0.672                         -3.6337                       0                             0.299                         
13:17:08.932                  3.5962                        -0.4285                       5.509                         0.6446                        -1.538                        -17.5487                      1.7589                        -0.5337                       0.4668                        -1.7474                       0.6716                        -3.634                        0                             0.3                           
13:17:09.202                  3.5963                        -0.4284                       5.5089                        0.644                         -1.5378                       -17.5487                      1.7588                        -0.5338                       0.4674                        -1.7478                       0.6712                        -3.6343                       0                             0.3                           
13:17:09.472                  3.596                         -0.4282                       5.5096                        0.6442                        -1.5374                       -17.5485                      1.7589                        -0.5339                       0.4675                        -1.7478                       0.6713                        -3.6346                       0                             0.3                           
13:17:09.762                  3.5954                        -0.4281                       5.5098                        0.6447                        -1.5376                       -17.5489                      1.7594                        -0.5341                       0.4676                        -1.7479                       0.6714                        -3.6347                       0                             0.3                           
13:17:10.032                  3.5947                        -0.4281                       5.509                         0.6451                        -1.5384                       -17.5494                      1.7597                        -0.5343                       0.4677                        -1.7482                       0.6713                        -3.6347                       0                             0.299                         
13:17:10.302                  3.5945                        -0.4281                       5.5086                        0.6457                        -1.5387                       -17.5491                      1.7598                        -0.5346                       0.4678                        -1.7484                       0.6711                        -3.6348                       0                             0.3                           
13:17:10.592                  3.5946                        -0.4278                       5.5088                        0.6458                        -1.5387                       -17.5483                      1.7598                        -0.5347                       0.4677                        -1.7482                       0.6705                        -3.6345                       0                             0.299                         
13:17:10.862                  3.5949                        -0.4275                       5.5091                        0.6453                        -1.5389                       -17.5483                      1.7599                        -0.5345                       0.4672                        -1.7477                       0.6698                        -3.634                        0                             0.3                           
13:17:11.142                  3.5954                        -0.4275                       5.5088                        0.6451                        -1.5395                       -17.5491                      1.76                          -0.5342                       0.4668                        -1.7475                       0.6696                        -3.6337                       0                             0.299                         
13:17:11.422                  3.596                         -0.4277                       5.5081                        0.6448                        -1.5401                       -17.5494                      1.76                          -0.5341                       0.4668                        -1.7474                       0.67                          -3.6339                       0                             0.3                           
13:17:11.732                  3.5962                        -0.4281                       5.5081                        0.6444                        -1.5403                       -17.5489                      1.7598                        -0.5345                       0.4669                        -1.7476                       0.6701                        -3.6342                       0                             0.299                         
13:17:12.002                  3.5953                        -0.4286                       5.509                         0.6444                        -1.5394                       -17.5485                      1.7593                        -0.5342                       0.4669                        -1.7474                       0.6701                        -3.6344                       0                             0.299                         
13:17:12.292                  3.594                         -0.4287                       5.5101                        0.6449                        -1.5384                       -17.5488                      1.7585                        -0.5336                       0.4671                        -1.7476                       0.6705                        -3.6342                       0                             0.3                           
13:17:12.562                  3.5935                        -0.4285                       5.5102                        0.6453                        -1.5383                       -17.5493                      1.7579                        -0.5336                       0.4675                        -1.7484                       0.6709                        -3.6334                       0                             0.3                           
13:17:12.832                  3.5941                        -0.428                        5.5096                        0.6448                        -1.5389                       -17.5493                      1.7582                        -0.5341                       0.4677                        -1.7489                       0.6709                        -3.6328                       0                             0.3                           
13:17:13.122                  3.5949                        -0.4281                       5.5084                        0.6443                        -1.5392                       -17.5493                      1.7587                        -0.5343                       0.4676                        -1.7485                       0.6707                        -3.633                        0                             0.3                           
13:17:13.392                  3.5951                        -0.4285                       5.5076                        0.6445                        -1.539                        -17.5493                      1.7589                        -0.5339                       0.4675                        -1.7475                       0.6705                        -3.6337                       0                             0.299                         
13:17:13.662                  3.5949                        -0.4288                       5.5072                        0.645                         -1.539                        -17.5492                      1.7587                        -0.5333                       0.4676                        -1.7476                       0.6703                        -3.6343                       0                             0.299                         
13:17:13.952                  3.5944                        -0.4289                       5.5072                        0.6451                        -1.539                        -17.5492                      1.7586                        -0.5332                       0.468                         -1.7483                       0.6705                        -3.6343                       0                             0.3                           
13:17:14.222                  3.5942                        -0.4292                       5.5074                        0.6447                        -1.539                        -17.549                       1.7587                        -0.5339                       0.4686                        -1.7475                       0.6698                        -3.6339                       0                             0.3                           
13:17:14.492                  3.5941                        -0.4289                       5.5076                        0.6446                        -1.539                        -17.5488                      1.7591                        -0.5344                       0.4699                        -1.7451                       0.6676                        -3.6331                       0                             0.3                           
13:17:14.782                  3.5941                        -0.4283                       5.5077                        0.6448                        -1.5391                       -17.5489                      1.7592                        -0.5348                       0.4708                        -1.7436                       0.6652                        -3.6324                       0                             0.3                           
13:17:15.052                  3.5941                        -0.4279                       5.5079                        0.6448                        -1.5391                       -17.5489                      1.7593                        -0.5346                       0.4715                        -1.7434                       0.6638                        -3.6321                       655.35                        0.3                           
13:17:15.322                  3.5938                        -0.428                        5.5081                        0.6445                        -1.5389                       -17.5487                      1.7593                        -0.5344                       0.4718                        -1.7435                       0.663                         -3.6325                       655.34                        0.3                           
13:17:15.612                  3.5936                        -0.4282                       5.508                         0.6444                        -1.5388                       -17.5485                      1.7594                        -0.5344                       0.472                         -1.7434                       0.6626                        -3.6326                       655.34                        0.3                           
13:17:15.882                  3.5937                        -0.4281                       5.508                         0.6449                        -1.5393                       -17.5494                      1.7596                        -0.5344                       0.4717                        -1.7435                       0.6633                        -3.6323                       655.34                        0.3                           
13:17:16.172                  3.5937                        -0.4279                       5.5081                        0.645                         -1.5395                       -17.5504                      1.7595                        -0.5342                       0.4707                        -1.7441                       0.6643                        -3.6319                       655.34                        0.3                           
13:17:16.442                  3.5936                        -0.4277                       5.5083                        0.6442                        -1.5392                       -17.5505                      1.759                         -0.5341                       0.4702                        -1.7444                       0.665                         -3.6314                       655.34                        0.3                           
13:17:16.722                  3.5933                        -0.4278                       5.5082                        0.6432                        -1.5391                       -17.5498                      1.7586                        -0.534                        0.4703                        -1.7444                       0.6651                        -3.6312                       655.34                        0.3                           
13:17:17.002                  3.5935                        -0.4279                       5.5079                        0.6431                        -1.5395                       -17.5493                      1.7586                        -0.5342                       0.4711                        -1.744                        0.665                         -3.6315                       655.34                        0.3                           
13:17:17.282                  3.5937                        -0.4277                       5.5074                        0.6434                        -1.5396                       -17.5489                      1.7584                        -0.5348                       0.4713                        -1.744                        0.6646                        -3.6315                       655.35                        0.3                           
13:17:17.552                  3.5938                        -0.4274                       5.507                         0.6436                        -1.5393                       -17.5488                      1.758                         -0.5346                       0.471                         -1.7441                       0.6642                        -3.6313                       0                             0.3                           
13:17:17.832                  3.5933                        -0.4271                       5.5071                        0.644                         -1.5392                       -17.5491                      1.7578                        -0.5339                       0.4708                        -1.7441                       0.6643                        -3.6313                       0                             0.3                           
13:17:18.112                  3.5927                        -0.4271                       5.507                         0.6445                        -1.5393                       -17.5502                      1.758                         -0.5336                       0.4708                        -1.7436                       0.6649                        -3.6322                       0                             0.3                           
13:17:18.382                  3.5919                        -0.4271                       5.5067                        0.6447                        -1.5391                       -17.5503                      1.7582                        -0.5338                       0.4709                        -1.743                        0.6653                        -3.6325                       0                             0.3                           
13:17:18.672                  3.5914                        -0.4271                       5.5067                        0.6447                        -1.5391                       -17.5498                      1.7582                        -0.5337                       0.4712                        -1.7431                       0.6652                        -3.6323                       0.01                          0.3                           
13:17:18.942                  3.5914                        -0.4271                       5.507                         0.6445                        -1.539                        -17.5493                      1.7583                        -0.5337                       0.4712                        -1.7436                       0.6644                        -3.6317                       0.02                          0.3                           
13:17:19.212                  3.5918                        -0.4273                       5.5078                        0.6442                        -1.5388                       -17.5493                      1.7588                        -0.5336                       0.471                         -1.7444                       0.6637                        -3.6313                       0.02                          0.3                           
