Specimen_AllReader_Record4 No ,  

Time (h.m.s.ms),              ID:2 R1 (X)                   ID:2 R1 (Y)                   ID:4 R3 (X)                   ID:4 R3 (Y)                   ID:7 R5 (X)                   ID:7 R5 (Y)                   ID:8 R6 (X)                   ID:8 R6 (Y)                   R7 T (N��m),                  R8 D (cm)                     
12:51:10.191                  6.1248                        1.0297                        -1.5386                       -17.6208                      0.904                         -17.314                       0.4867                        -42.7968                      0                             0.3                           
12:51:10.421                  6.1245                        1.0291                        -1.538                        -17.6205                      0.904                         -17.3141                      0.4926                        -42.7933                      0                             0.3                           
12:51:10.648                  6.1242                        1.0285                        -1.5378                       -17.6199                      0.904                         -17.3143                      0.4987                        -42.7893                      0                             0.3                           
12:51:10.855                  6.1241                        1.0278                        -1.5379                       -17.6195                      0.9044                        -17.3143                      0.5042                        -42.7854                      0                             0.3                           
12:51:11.071                  6.1237                        1.0275                        -1.5385                       -17.6192                      0.9046                        -17.3138                      0.5094                        -42.7815                      0                             0.3                           
12:51:11.301                  6.1234                        1.0277                        -1.5389                       -17.6191                      0.9048                        -17.3127                      0.5144                        -42.7781                      0                             0.3                           
12:51:11.521                  6.123                         1.0282                        -1.5391                       -17.6193                      0.9047                        -17.3116                      0.5189                        -42.7755                      0                             0.3                           
12:51:11.731                  6.1225                        1.0283                        -1.5386                       -17.6199                      0.9049                        -17.3111                      0.5244                        -42.7722                      0                             0.3                           
12:51:11.921                  6.122                         1.0279                        -1.5384                       -17.6206                      0.9052                        -17.3111                      0.5302                        -42.7683                      0                             0.3                           
12:51:12.131                  6.121                         1.0272                        -1.5381                       -17.6209                      0.9057                        -17.3111                      0.5353                        -42.7645                      0                             0.3                           
12:51:12.341                  6.1201                        1.0267                        -1.538                        -17.6207                      0.9062                        -17.3111                      0.5404                        -42.7606                      0                             0.3                           
12:51:12.561                  6.1196                        1.0264                        -1.5378                       -17.6204                      0.9062                        -17.3112                      0.5463                        -42.7562                      0                             0.3                           
12:51:12.781                  6.1191                        1.0262                        -1.5379                       -17.6201                      0.9055                        -17.3117                      0.5515                        -42.7519                      0                             0.3                           
12:51:13.011                  6.1185                        1.0257                        -1.5382                       -17.6203                      0.9047                        -17.3126                      0.5569                        -42.7477                      0                             0.3                           
12:51:13.221                  6.1176                        1.0252                        -1.5385                       -17.6201                      0.9039                        -17.3138                      0.5624                        -42.7437                      0                             0.3                           
12:51:13.411                  6.1169                        1.0249                        -1.5386                       -17.6196                      0.9036                        -17.315                       0.5678                        -42.7406                      0                             0.3                           
12:51:13.601                  6.1163                        1.0246                        -1.5386                       -17.6189                      0.9032                        -17.3157                      0.5732                        -42.7375                      0                             0.3                           
12:51:13.791                  6.1157                        1.0247                        -1.5385                       -17.6186                      0.9028                        -17.316                       0.5785                        -42.7343                      0                             0.3                           
12:51:14.001                  6.115                         1.0248                        -1.5386                       -17.6184                      0.9024                        -17.3161                      0.5835                        -42.731                       0                             0.3                           
12:51:14.211                  6.1137                        1.0246                        -1.5387                       -17.6185                      0.902                         -17.3158                      0.5882                        -42.7277                      0                             0.3                           
12:51:14.431                  6.1124                        1.024                         -1.539                        -17.6184                      0.9019                        -17.3157                      0.5934                        -42.7239                      0                             0.3                           
12:51:14.661                  6.1107                        1.0227                        -1.5393                       -17.6186                      0.9018                        -17.3154                      0.5987                        -42.7203                      0                             0.3                           
12:51:14.881                  6.1094                        1.0214                        -1.5392                       -17.6189                      0.9018                        -17.3154                      0.6041                        -42.7167                      0                             0.3                           
12:51:15.101                  6.1086                        1.0204                        -1.5388                       -17.6193                      0.9018                        -17.315                       0.6103                        -42.7132                      0                             0.3                           
12:51:15.311                  6.1087                        1.0197                        -1.5382                       -17.6194                      0.9021                        -17.3149                      0.6163                        -42.7094                      0                             0.3                           
12:51:15.531                  6.1087                        1.0193                        -1.5378                       -17.6196                      0.9021                        -17.3149                      0.6216                        -42.7062                      0                             0.3                           
12:51:15.761                  6.1083                        1.019                         -1.5378                       -17.62                        0.9023                        -17.3151                      0.6271                        -42.7022                      0                             0.3                           
12:51:15.981                  6.1076                        1.0188                        -1.538                        -17.6203                      0.9023                        -17.3153                      0.6326                        -42.6986                      0                             0.3                           
12:51:16.211                  6.1068                        1.0188                        -1.538                        -17.6203                      0.9025                        -17.3154                      0.6377                        -42.695                       0                             0.3                           
12:51:16.411                  6.1065                        1.0181                        -1.5378                       -17.6201                      0.9026                        -17.3156                      0.6428                        -42.6916                      0                             0.3                           
12:51:16.641                  6.1065                        1.0175                        -1.5378                       -17.6197                      0.9027                        -17.316                       0.6474                        -42.6883                      0                             0.3                           
12:51:16.861                  6.1065                        1.0168                        -1.5377                       -17.6196                      0.903                         -17.3162                      0.6529                        -42.6839                      0                             0.3                           
12:51:17.091                  6.1059                        1.0163                        -1.5379                       -17.6194                      0.9033                        -17.3159                      0.6585                        -42.6794                      0                             0.3                           
12:51:17.291                  6.1051                        1.0157                        -1.5379                       -17.6196                      0.9033                        -17.3156                      0.6639                        -42.6752                      0                             0.3                           
12:51:17.501                  6.1043                        1.0151                        -1.538                        -17.6197                      0.9028                        -17.3154                      0.6694                        -42.6715                      0                             0.3                           
12:51:17.711                  6.1036                        1.0148                        -1.538                        -17.6199                      0.9023                        -17.3151                      0.6743                        -42.6686                      0                             0.3                           
12:51:17.931                  6.103                         1.0143                        -1.5379                       -17.6198                      0.9021                        -17.315                       0.68                          -42.6652                      0                             0.3                           
